Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 4 of 20 (20 %) | Date: 14:48:08-06/01/17 | Timestamp: 1496339288
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:48:09-06/01/17 | Timestamp: 1496339289
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 4 of 20 (20 %) | Date: 14:48:19-06/01/17 | Timestamp: 1496339299
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:48:20-06/01/17 | Timestamp: 1496339300
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 4 of 20 (20 %) | Date: 14:48:30-06/01/17 | Timestamp: 1496339310
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:48:32-06/01/17 | Timestamp: 1496339312
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 4 of 20 (20 %) | Date: 14:48:43-06/01/17 | Timestamp: 1496339323
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:48:43-06/01/17 | Timestamp: 1496339323
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 5 of 20 (25 %) | Date: 14:48:54-06/01/17 | Timestamp: 1496339334
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:48:55-06/01/17 | Timestamp: 1496339335
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 5 of 20 (25 %) | Date: 14:49:05-06/01/17 | Timestamp: 1496339345
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:49:06-06/01/17 | Timestamp: 1496339346
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 5 of 20 (25 %) | Date: 14:49:16-06/01/17 | Timestamp: 1496339356
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:49:17-06/01/17 | Timestamp: 1496339357
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 5 of 20 (25 %) | Date: 14:49:28-06/01/17 | Timestamp: 1496339368
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:49:28-06/01/17 | Timestamp: 1496339368
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 5 of 20 (25 %) | Date: 14:49:39-06/01/17 | Timestamp: 1496339379
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:49:39-06/01/17 | Timestamp: 1496339379
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 5 of 20 (25 %) | Date: 14:49:50-06/01/17 | Timestamp: 1496339390
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:49:51-06/01/17 | Timestamp: 1496339391
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 5 of 20 (25 %) | Date: 14:50:02-06/01/17 | Timestamp: 1496339402
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:50:02-06/01/17 | Timestamp: 1496339402
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 5 of 20 (25 %) | Date: 14:50:13-06/01/17 | Timestamp: 1496339413
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:50:13-06/01/17 | Timestamp: 1496339413
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 5 of 20 (25 %) | Date: 14:50:24-06/01/17 | Timestamp: 1496339424
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:50:24-06/01/17 | Timestamp: 1496339424
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:50:35-06/01/17 | Timestamp: 1496339435
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:50:36-06/01/17 | Timestamp: 1496339436
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:50:46-06/01/17 | Timestamp: 1496339446
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:50:48-06/01/17 | Timestamp: 1496339448
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:50:58-06/01/17 | Timestamp: 1496339458
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:50:59-06/01/17 | Timestamp: 1496339459
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:51:10-06/01/17 | Timestamp: 1496339470
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:51:10-06/01/17 | Timestamp: 1496339470
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:51:21-06/01/17 | Timestamp: 1496339481
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:51:21-06/01/17 | Timestamp: 1496339481
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:51:32-06/01/17 | Timestamp: 1496339492
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:51:32-06/01/17 | Timestamp: 1496339492
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:51:43-06/01/17 | Timestamp: 1496339503
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:51:44-06/01/17 | Timestamp: 1496339504
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:51:54-06/01/17 | Timestamp: 1496339514
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:51:55-06/01/17 | Timestamp: 1496339515
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:52:05-06/01/17 | Timestamp: 1496339525
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:52:06-06/01/17 | Timestamp: 1496339526
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:52:16-06/01/17 | Timestamp: 1496339536
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:52:17-06/01/17 | Timestamp: 1496339537
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:52:28-06/01/17 | Timestamp: 1496339548
Site: manager.naf.ufscar.br | Amount instances: 4 of 20 (20 %) | Date: 14:52:28-06/01/17 | Timestamp: 1496339548
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:52:39-06/01/17 | Timestamp: 1496339559
Site: manager.naf.ufscar.br | Amount instances: 5 of 20 (25 %) | Date: 14:52:40-06/01/17 | Timestamp: 1496339560
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:52:50-06/01/17 | Timestamp: 1496339570
